"","gene","doid"
"659","HGNC:32082","DOID:3908"
"660","HGNC:391","DOID:3908"
"661","HGNC:391","DOID:3908"
"662","HGNC:10643","DOID:4483"
"663","HGNC:11727","DOID:3459"
"664","HGNC:11727","DOID:3459"
"665","HGNC:31495","DOID:684"
"666","HGNC:31495","DOID:684"
"667","HGNC:31495","DOID:684"
"668","HGNC:31495","DOID:684"
"669","HGNC:5472","DOID:418"
"670","HGNC:7098","DOID:0080600"
"671","HGNC:7098","DOID:0080600"
"672","HGNC:7098","DOID:0080600"
"673","HGNC:7174","DOID:3068"
"674","HGNC:11763","DOID:4450"
"675","HGNC:11763","DOID:4450"
"676","HGNC:6470","DOID:10652"
"677","HGNC:11397","DOID:3007"
"678","HGNC:5464","DOID:0050827"
"679","HGNC:6943","DOID:219"
"680","HGNC:10618","DOID:684"
"681","HGNC:11920","DOID:12361"
"682","HGNC:7794","DOID:1324"
"683","HGNC:4271","DOID:9970"
"684","HGNC:13273","DOID:8778"
"685","HGNC:5344","DOID:9719"
"686","HGNC:6407","DOID:3078"
"687","HGNC:3349","DOID:1037"
"688","HGNC:9075","DOID:3393"
"689","HGNC:6014","DOID:0060061"
"690","HGNC:7967","DOID:684"
"691","HGNC:3192","DOID:10652"
"692","HGNC:7525","DOID:437"
"693","HGNC:7525","DOID:437"
"694","HGNC:10630","DOID:2043"
"695","HGNC:10839","DOID:9351"
"696","HGNC:4317","DOID:6595"
"697","HGNC:10647","DOID:0080745"
"698","HGNC:8824","DOID:4449"
"699","HGNC:1681","DOID:3910"
"700","HGNC:1681","DOID:3910"
"701","HGNC:17451","DOID:0050848"
"702","HGNC:7997","DOID:10652"
"703","HGNC:7997","DOID:10652"
"704","HGNC:5466","DOID:14330"
"705","HGNC:6091","DOID:10652"
"706","HGNC:10761","DOID:5419"
"707","HGNC:17142","DOID:891"
"708","HGNC:2707","DOID:8947"
"709","HGNC:7176","DOID:10763"
"710","HGNC:1082","DOID:14250"
"711","HGNC:31538","DOID:4362"
"712","HGNC:11848","DOID:9111"
"713","HGNC:4947","DOID:14115"
"714","HGNC:4947","DOID:14115"
"715","HGNC:3435","DOID:14250"
"716","HGNC:21014","DOID:1612"
"717","HGNC:6065","DOID:3008"
"718","HGNC:437","DOID:8778"
"719","HGNC:19157","DOID:2043"
"720","HGNC:19157","DOID:2043"
"721","HGNC:19157","DOID:2043"
"722","HGNC:3676","DOID:6432"
"723","HGNC:7873","DOID:10652"
"724","HGNC:6342","DOID:11054"
"725","HGNC:253","DOID:2841"
"726","HGNC:10471","DOID:3910"
"727","HGNC:11821","DOID:2006"
"728","HGNC:7029","DOID:1793"
"729","HGNC:17071","DOID:986"
"730","HGNC:1507","DOID:0060074"
"731","HGNC:3544","DOID:576"
"732","HGNC:1515","DOID:14330"
"733","HGNC:8742","DOID:12858"
"734","HGNC:1631","DOID:5082"
"735","HGNC:1631","DOID:5082"
